,Sentence,Aspect Terms,Sentiment
2807,It takes courage to grow up and turn out to be who you really are . E.E . Cummings . Your business can too http://t.co/ZTKiudk,E.E . Cummings,NEUTRAL
2808,maat COLOMBIA LOVES YOU !!! NOTICE US !!!! PLZ ? :D ( @matthunter123 live on http://t.co/R6PmsVYA),maat,POSITIVE
2809,maat COLOMBIA LOVES YOU !!! NOTICE US !!!! PLZ ? :D ( @matthunter123 live on http://t.co/R6PmsVYA),@matthunter123,POSITIVE
2810,UNLOCKED Apple iPhone 4 can be found at great prices a d: http://t.co/gDJowrHN ~ #apple #iphone #iphone4,Apple,POSITIVE
2811,I've just unlocked the Link Up With Twitter ! ( 5 points ) achievement in #THKLive for # BlackBerry !,Twitter,NEUTRAL
2812,"mum tells me as long as i dont mess things up , im helping her . i stay in my room the whole day . am i even messing things up ? ! ? !",mum,NEGATIVE
2813,http://t.co/z94zI6D What combination of events needs to happen for the Philadelphia Eagles to make the playof ... philadelphia eagles,philadelphia eagles,NEUTRAL
2814,Directed by Cameron McKirdy Camera props to Seth Morrisey and Kelly Bode Specia ( @YouTube http://t.co/THWws0vM),Cameron McKirdy,NEUTRAL
2815,Directed by Cameron McKirdy Camera props to Seth Morrisey and Kelly Bode Specia ( @YouTube http://t.co/THWws0vM),Seth Morrisey,NEUTRAL
2816,Directed by Cameron McKirdy Camera props to Seth Morrisey and Kelly Bode Specia ( @YouTube http://t.co/THWws0vM),Kelly Bode Specia,NEUTRAL
2817,indians team was play very good and dhoni complete captain responsibllty good look for india,dhoni,POSITIVE
2818,indians team was play very good and dhoni complete captain responsibllty good look for india,india,POSITIVE
2819,New Google Search Tool s: Why Are They Important To Your Automotive Ad Agency ? http://bit.ly/9lWwOs,Google,POSITIVE
2820,Masses flocked to public squares in a number of Syrian provinces to express support for Assad . #Syria http://t.co/p7jSZceT,Assad,POSITIVE
2821,"New Apple TV coming 'immediately' after iPad 3 event , possibly with a new remote http://t.co/ndhtwcYZ by @mpanzarino",Apple,NEUTRAL
2822,A business absolutely devoted to service will have only one worry about profits . ~ Henry Ford,Henry Ford,NEUTRAL
2823,Premier League : Arsenal 2-0 Wolves â Full Match Report now available on Arsenal.com http://bit.ly/gZOnsQ ( via @Arsenal ),Arsenal,NEUTRAL
2824,Premier League : Arsenal 2-0 Wolves â Full Match Report now available on Arsenal.com http://bit.ly/gZOnsQ ( via @Arsenal ),Wolves,NEUTRAL
2825,"FTSE drops below 5 , 300 as markets await Fe d: BritainÐ²Ðâ¢s FTSE 100 and other European stock indices slipped ... http://t.co/mV4NMZPd",FTSE,NEUTRAL
2826,"FTSE drops below 5 , 300 as markets await Fe d: BritainÐ²Ðâ¢s FTSE 100 and other European stock indices slipped ... http://t.co/mV4NMZPd",Fe d:,NEUTRAL
2827,"FTSE drops below 5 , 300 as markets await Fe d: BritainÐ²Ðâ¢s FTSE 100 and other European stock indices slipped ... http://t.co/mV4NMZPd",FTSE,NEGATIVE
2828,TeamWox Online Assistant : New Clients Support Tool for free promo -http://tinyurl.com/357ptbx,TeamWox,NEUTRAL
2829,"in fifth development plan ; #Iran to reduce by 10 % , the number of humanities student s; IRNA http://t.co/SsvYfBKv ( fa )",IRNA,NEUTRAL
2830,;P yahoo This Site is For Sale http://bit.ly/bmzg8r,yahoo,NEUTRAL
2831,how many of you remember that 2 February was the birthday of Sukhbaatar the great commander ? #mongolia #revolution,Sukhbaatar,POSITIVE
2832,ExtradjDnB thanks for following me on Twitter !,Twitter,POSITIVE
2833,Ignite Energy Scam http://t.co/E3pfHRQ6 Ignite Energy Scam http://t.co/SWqsdnbG,Ignite Energy,NEGATIVE
2834,Ignite Energy Scam http://t.co/E3pfHRQ6 Ignite Energy Scam http://t.co/SWqsdnbG,Ignite Energy,NEUTRAL
2835,Matterhorn Photo â Riffel Lake Wallpaper â National Geographic Photo of the Day : http://on.natgeo.com/gifTT8 via @NatGeoSociety,National Geographic,NEUTRAL
2836,IIT-B students light up slums at low cost http://t.co/e8HwGX3y That's called innovation .,IIT-B,POSITIVE
2837,"Odom playing for Mavs tonight , not in D-League http://t.co/Bzr6VNBM",Odom,NEUTRAL
2838,"Odom playing for Mavs tonight , not in D-League http://t.co/Bzr6VNBM",Mavs,NEUTRAL
2839,"Odom playing for Mavs tonight , not in D-League http://t.co/Bzr6VNBM",D-League,NEUTRAL
2840,Check out BlackBerry Protect ! You can find it at http://t.co/aSKEIx18,BlackBerry,NEUTRAL
2841,"And be patient , for indeed , Allah does not allow to be lost the reward of those who do good . [ Surat Hud Chapter 11 Verse 115 ]",Allah,POSITIVE
2842,Apple iPad Sales May Reach 2 Million Per Month http://bit.ly/aTFU3m iPad also to launch in 9 new countries this month,Apple,NEUTRAL
2843,a d: http://be-a-magpie.com/jdqc4m - Smart solution to promote products and services on Twitter !,Twitter,NEUTRAL
2844,Tebow ! Tebow ! Tebow ! We want Tebow ! Go Broncos !,Tebow,POSITIVE
2845,Tebow ! Tebow ! Tebow ! We want Tebow ! Go Broncos !,Tebow,POSITIVE
2846,Tebow ! Tebow ! Tebow ! We want Tebow ! Go Broncos !,Tebow,POSITIVE
2847,Tebow ! Tebow ! Tebow ! We want Tebow ! Go Broncos !,Tebow,POSITIVE
2848,Tebow ! Tebow ! Tebow ! We want Tebow ! Go Broncos !,Broncos,POSITIVE
2849,Intel Prepping Android 2.2 For x86 Device s: http://cot.ag/9WcsXJ,Intel,POSITIVE
2850,"A call to photographers , Kelly Rowland's comeback , and a $ 200 giveaway -- all new today on the blog ! Check it .... http://fb.me/CTOU3FDX",Kelly Rowland's,POSITIVE
2851,Soccer : Zinedine Zidane is playing the role of peacekeeper at Real Madrid - ESPN http://es.pn/ft8viT,Zinedine Zidane,NEUTRAL
2852,Soccer : Zinedine Zidane is playing the role of peacekeeper at Real Madrid - ESPN http://es.pn/ft8viT,ESPN,NEUTRAL
2853,Free available Awesome tvQuran App for iphone in Apple store .,Apple,NEUTRAL
2854,Apple â s Next iOS Tablet Might Be Called iPad HD Instead Of iPad 3 : http://t.co/Bbay8kFf,Apple,NEUTRAL
2855,Jessore BNP leader killed in Gazipur : Jessore : A BNP upazila unit leader was killed at Shalna Bridge area of the ... http://t.co/HEyPueLN,BNP,NEUTRAL
2856,Jessore BNP leader killed in Gazipur : Jessore : A BNP upazila unit leader was killed at Shalna Bridge area of the ... http://t.co/HEyPueLN,BNP,NEUTRAL
2857,Do you think there â s a difference between the Nicoderm and the Equate brand stop smoking patch ? : Tomorrow is me an ... http://bit.ly/cUBIFZ,Nicoderm,NEUTRAL
2858,Do you think there â s a difference between the Nicoderm and the Equate brand stop smoking patch ? : Tomorrow is me an ... http://bit.ly/cUBIFZ,Equate,NEUTRAL
2859,"NY & Microsoft Screenings , Michael Eisner , World Tour KO , EyeCare4Kids , Last Call 2 Submit , PreLim Schedule and more : http://t.co/POx0TZZo",Microsoft,NEUTRAL
2860,"NY & Microsoft Screenings , Michael Eisner , World Tour KO , EyeCare4Kids , Last Call 2 Submit , PreLim Schedule and more : http://t.co/POx0TZZo",Michael Eisner,NEUTRAL
2861,"NY & Microsoft Screenings , Michael Eisner , World Tour KO , EyeCare4Kids , Last Call 2 Submit , PreLim Schedule and more : http://t.co/POx0TZZo",World Tour KO,NEUTRAL
2862,"NY & Microsoft Screenings , Michael Eisner , World Tour KO , EyeCare4Kids , Last Call 2 Submit , PreLim Schedule and more : http://t.co/POx0TZZo",EyeCare4Kids,NEUTRAL
2863,Modell's Takes Biggest Bet On Jeremy Lin - http://t.co/mIUWADkb http://t.co/EbzmWKXV,Modell's,NEUTRAL
2864,Modell's Takes Biggest Bet On Jeremy Lin - http://t.co/mIUWADkb http://t.co/EbzmWKXV,Jeremy Lin,NEUTRAL
2865,Home with my love next door from this place ... ( @ Hudson Community Enterprises ) http://t.co/3q7qiFxF,Hudson Community Enterprises,NEUTRAL
2866,"Jesus answered , ""It is written : 'Man does not live on bread alone , but on every word that comes from the mouth of God.' Matthew 4 : 4",Jesus,POSITIVE
2867,We're currently looking at the AU's peacekeeping operations in concert with the EU . Certainly some challenges to be solved in that respect .,AU's,NEUTRAL
2868,We're currently looking at the AU's peacekeeping operations in concert with the EU . Certainly some challenges to be solved in that respect .,EU,NEGATIVE
2869,"Bus Drivers , Transit and Intercity - Careers.Org Occupation Profile",Careers.Org,NEUTRAL
2870,Video : Burning Man 2011 : Rites of Passage - Burn Night Timelapse ( by Grant Kaye ) After the last rays of the ... http://t.co/SJw2rDV,Grant Kaye,NEUTRAL
2871,Tatjana Pasalic 2011 WSOP Photo Dum p: That is one happy Bodog patch . Tatjana Pasalic has been a target of ... http://bit.ly/liNF5S #poker,Tatjana Pasalic,NEUTRAL
2872,@Tarek_Sadek where egypt and History meets ! Freedom and democracy of educated egypt or baltageyas one . Must be able to protect yours,baltageyas,NEUTRAL
2873,"if u miss the sunrise I mad 4 u today , never mind . i'll make u anather one tomorrow . God",God,POSITIVE
2874,Apple Tops Fortune â s â Most Admired â List for Fifth Year in a Row [ VIDEO ] http://t.co/wtI4DnIF,Apple Tops Fortune,POSITIVE NEUTRAL NEUTRAL
2875,WHERE DO YOU GET 100 FREE MORE TWITTER FOLLOWERS ? http://tinyurl.com/2wpnvw5,TWITTER,NEUTRAL
2876,@mayhemmiller When you return to the ufc,ufc,NEUTRAL
2877,APSense to become the top Business Network ... Join http://t.co/XQQbcfsv,APSense,NEUTRAL
2878,APSense to become the top Business Network ... Join http://t.co/XQQbcfsv,Business Network,NEUTRAL
2879,"Finally someone is making a noise about this ! About time ! ""Gavaskar , Shastri are biased"" http://t.co/M4qc4M6","""Gavaskar",POSITIVE
2880,"Finally someone is making a noise about this ! About time ! ""Gavaskar , Shastri are biased"" http://t.co/M4qc4M6",Shastri,NEGATIVE
2881,Dan had a great kickstart today to achieve his goal . He's hooked on a new daily sms service ! spon http://tinyurl.com/2d2sa6h,Dan,POSITIVE
2882,Al Jazeera English http://bit.ly/faw9KM expose Bahraini security after the massacre of Pearl Roundabout #bahrain,Al Jazeera,NEUTRAL
2883,Al Jazeera English http://bit.ly/faw9KM expose Bahraini security after the massacre of Pearl Roundabout #bahrain,Bahraini security,NEUTRAL
2884,"Bourne & O â Neil Treasure Oak Humidor : Many have a humidor , some also own a polished oak piece , but no one has a ... http://t.co/GWEBkRbG",Bourne & O â Neil Treasure,POSITIVE
2885,"It is from among such individuals that all human failures spring""// Alfred Adler",Alfred Adler,NEUTRAL
2886,Tommorrow is my final day at ITP . i'm just so happy this demanding course will end,ITP,NEGATIVE
2887,In defense of RSS via Seth Godin http://is.gd/k9Wvy,Seth Godin,NEUTRAL
2888,is still half clueless about twitter haha,twitter,NEUTRAL
2889,New Blog Post : iZigg Agent Jennifer Varenka on CRUSH IT ! and winning a coaching session with â¦ http://t.co/SO8VXPc9,iZigg,NEUTRAL
2890,New Blog Post : iZigg Agent Jennifer Varenka on CRUSH IT ! and winning a coaching session with â¦ http://t.co/SO8VXPc9,Jennifer Varenka,NEUTRAL
2891,Whitney Houston is not yet buried and the money vultures are already out http://t.co/fuvM5TWo,Whitney Houston,NEUTRAL
2892,"More period work for Downton star : Based on a true story , Stevens' character is Gilbert Evans , a land agent for ... http://t.co/2FgMaGJX",Stevens',NEUTRAL
2893,"More period work for Downton star : Based on a true story , Stevens' character is Gilbert Evans , a land agent for ... http://t.co/2FgMaGJX",Gilbert Evans,NEUTRAL
2894,"My daughter upon turning 8 said , ""Hey , Dad , now I'm a Tween"" , to which I responded , ""Sorry , honey , you're still a Twirp"" .",My daughter,POSITIVE
2895,It was nice taking the time off and being with fellow animators from other places . Awazu kanto's texturing skills are frikken amazing,Awazu kanto's,POSITIVE
2896,An ideal city is not likely to be the mold of a real city . Harvey Zorbaugh,Harvey Zorbaugh,NEUTRAL
2897,I imagine that the pain from the explosion of instant mashed potatoes is what hot lava feels like . Send FEMA mobile burn unit now please !,FEMA,NEUTRAL
2898,#NowPlaying 'Dance With Me' by @AARONCARTER7 featuring Flo Rida - Download it on iTunes ! http://bit.ly/8cFidZ #AaronCarter #AC2010,Flo Rida,NEUTRAL
2899,#NowPlaying 'Dance With Me' by @AARONCARTER7 featuring Flo Rida - Download it on iTunes ! http://bit.ly/8cFidZ #AaronCarter #AC2010,#AaronCarter,POSITIVE
2900,Ã¢ÂÂ @ BarackObama : International community soft words MUST end . Assad is not a reformer he is a Dictator and your silence makes it worst . #Syria,BarackObama,NEUTRAL
2901,"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Michael Anderson,NEUTRAL
2902,"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Aboriginal Tent Embassy,NEUTRAL
2903,"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Aust Constitution,NEGATIVE
2904,"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Aust,NEGATIVE
2905,Google Triples the speed of +1 button http://ow.ly/5ODxE,Google,NEUTRAL
2906,"The whole media is corrupt , follow ppl you trust !! @laurenflax @CNN #londonroits",@CNN,NEUTRAL
2907,He who opens a school door closes a prison . Victor Hugo,Victor Hugo,NEUTRAL
2908,Sun Softwares is one of the leading outsourcing companies in India . Here we provide you the exact results as you want in Web designing .,Sun Softwares,POSITIVE
2909,"I posted 21 photos on Facebook in the album ""Success with Technology"" http://t.co/eHX7wite",Facebook,NEUTRAL
2910,"Lindsey , I look forward to your October 17 show in Anaheim !",Lindsey,POSITIVE
2911,Missing energy exec found dead in New Orlean s: HOUSTON ( Reuters ) - A senior executive with an Atlanta-based energy ... http://bit.ly/cZ3gDe,Reuters,NEUTRAL
2912,Mint Announces Third Quarterly Results and Market Guidance ... http : //p.gs/1vvo6,Mint,NEUTRAL
2913,Oil and the economy : The 2011 oil shock | The Economist - http://econ.st/edJDel via @TheEconomist,The Economist,NEUTRAL
2914,SA made G Kristen as coach . They actually misread Ind WC victory . Can some one pls tell them they need MSD to win ? #MSD #kristen,G Kristen,NEGATIVE
2915,"@shafiqhamdam - I thought I wrote to AACN a month ago , no reply man ? You involved ?",AACN,NEGATIVE
2916,Abraham Lincoln's mother died when she drank the milk of a cow that grazed on poisonous snakeroot .,Abraham Lincoln's,NEUTRAL
2917,I posted a new photo to Facebook http://t.co/1ZuCr6cb,Facebook,NEUTRAL
2918,felling vaery sad bcz of Steve Jobs's death ...........,Steve Jobs's,POSITIVE
2919,Prince offers $ 1m to seize Israelis - The Independent http://t.co/LbhiTBAQ,The Independent,NEUTRAL
2920,THAKSIN do not want 2B come PM . But he wants 2B the PRESIDENT of the REPUBLIC of THAILAND .,THAKSIN,NEUTRAL
2921,THAKSIN do not want 2B come PM . But he wants 2B the PRESIDENT of the REPUBLIC of THAILAND .,PM,NEUTRAL
2922,THAKSIN do not want 2B come PM . But he wants 2B the PRESIDENT of the REPUBLIC of THAILAND .,PRESIDENT,NEUTRAL
2923,they are not worried on Anna's health,Anna's,NEUTRAL
2924,"Today's Mantra : Yes , I'm realistic ... My dreams are huge , bold and imaginative . -Mike",-Mike,POSITIVE
2925,Sergio Aguero greets Man City fans at the Etihad Stadium http://t.co/XqQUro4,Sergio Aguero,POSITIVE
2926,Sergio Aguero greets Man City fans at the Etihad Stadium http://t.co/XqQUro4,Man City,NEUTRAL
2927,"When it comes to presentation , Mark Zuckerberg is no Steve Jobs ;P http://t.co/3ORETf2 facebook announcement",Mark Zuckerberg,NEGATIVE
2928,"When it comes to presentation , Mark Zuckerberg is no Steve Jobs ;P http://t.co/3ORETf2 facebook announcement",Steve Jobs,POSITIVE
2929,"When it comes to presentation , Mark Zuckerberg is no Steve Jobs ;P http://t.co/3ORETf2 facebook announcement",facebook,NEGATIVE
2930,feminist author Barbara Novak ( Renee Zellweger ) finds herself head-over-heels.....http://www.acmemoviereviews.bravehost.com/downwithlove.htm,Barbara Novak,NEUTRAL
2931,feminist author Barbara Novak ( Renee Zellweger ) finds herself head-over-heels.....http://www.acmemoviereviews.bravehost.com/downwithlove.htm,Renee Zellweger,NEUTRAL
2932,I liked a @YouTube video http://t.co/TTDr9TNr One Direction - What Makes You Beautiful,One Direction,POSITIVE
2933,american Whole Foods Market is like a temple of food,Whole Foods Market,POSITIVE
2934,@Douglaslas are you familiar with ASCE ( American Society of Civil Engineers ) ?,ASCE ( American Society of Civil Engineers,NEUTRAL
2935,CERN turns up power to answer Higgs riddle in 2012 | Sci-tech | http://t.co/E1HhGAeO http://t.co/jRlF2mIm,CERN,NEUTRAL
2936,CERN turns up power to answer Higgs riddle in 2012 | Sci-tech | http://t.co/E1HhGAeO http://t.co/jRlF2mIm,Higgs,NEUTRAL
2937,ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),Karunanidhi,NEUTRAL
2938,ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),PERIYAR'',NEUTRAL
2939,ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),Sonia,NEUTRAL
2940,ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),RAJIV GANDHI''-,NEUTRAL
2941,Shania Twain - Dance With The One That Brought You http://t.co/uVWcAtJN,Shania Twain,NEUTRAL
2942,"Next Cineworks and Raindance ""Booze and Schmooze"" is March 5th http://t.co/WIr5hLqd",Cineworks,NEUTRAL
2943,"Next Cineworks and Raindance ""Booze and Schmooze"" is March 5th http://t.co/WIr5hLqd",Raindance,NEUTRAL
2944,"OneBode Blend obtains a complete blend of antioxidants including grape seed , grape skin , pine bark and SOD precursors",OneBode Blend,POSITIVE
2945,Now Mr . Bhusan Dahal iz in the fire ........ and Kumar phudung at side ..... great conversationn iz still on air ......,Mr . Bhusan Dahal,POSITIVE
2946,Now Mr . Bhusan Dahal iz in the fire ........ and Kumar phudung at side ..... great conversationn iz still on air ......,Kumar phudung,POSITIVE
2947,5 Tips for Using the New LinkedIn Company Pages http://t.co/8LpLeEsF,LinkedIn,NEUTRAL
2948,ABE staff won 3rd place in the Poly50 staff catergory ! Congratulations !,ABE,POSITIVE
2949,Sometimes the questions are complicated and the answers are simple- Dr Suess,Dr Suess,NEUTRAL
2950,Tony Romo among DFW celebrity golfers at AT & T Pro-Am : When Dallas Cowboys quarterback Tony Romo tees off today w ... http://t.co/sCgb3nwJ,Tony Romo,NEUTRAL
2951,Tony Romo among DFW celebrity golfers at AT & T Pro-Am : When Dallas Cowboys quarterback Tony Romo tees off today w ... http://t.co/sCgb3nwJ,AT & T,NEUTRAL
2952,Tony Romo among DFW celebrity golfers at AT & T Pro-Am : When Dallas Cowboys quarterback Tony Romo tees off today w ... http://t.co/sCgb3nwJ,Dallas Cowboys,NEUTRAL
2953,Tony Romo among DFW celebrity golfers at AT & T Pro-Am : When Dallas Cowboys quarterback Tony Romo tees off today w ... http://t.co/sCgb3nwJ,Tony Romo,NEUTRAL
2954,Lol lol RT @allkpop : [ Spoiler : Running Man ] Kim Jong Kook is betrayed by Haha http://t.co/U1FHxYLw,Kim Jong Kook,NEUTRAL
2955,Lol lol RT @allkpop : [ Spoiler : Running Man ] Kim Jong Kook is betrayed by Haha http://t.co/U1FHxYLw,Haha,NEGATIVE
2956,Houston billionaires make Forbes Richest People in America list http://t.co/yM8tvfID,Forbes,NEUTRAL
2957,@Moyade1 cause i was outside . Sorry dude .,@Moyade1,NEUTRAL
2958,Afghans Unconvinced by Karzai Presidency : http://bit.ly/fQFXOD,Karzai,NEUTRAL
2959,I posted a new photo to Facebook http://t.co/DPKRnlx3,Facebook,NEUTRAL
2960,Key Dems criticize HHS reshuffling of public health fund ( 6/17/10 â¦ http://bit.ly/9urynn,HHS,NEUTRAL
2961,I posted a new photo to Facebook http://fb.me/tlyRE78d,Facebook,NEUTRAL
2962,Twitter Help Center | It looks like I â m not following someone I know I â ve followed ! http://t.co/Onk1xSQ7 via @support,Twitter,NEGATIVE
2963,Are you guys as stoked as we are to see Jesse in a Tu-tu ? http://t.co/Fi0blpSb http://t.co/TKaOzpj9,Jesse,NEUTRAL
2964,Trading Facebook Option s: In light of the upcoming Facebook IPO we add this discussion of trading Facebook optio ... http://t.co/Gx6NbP7R,Facebook,NEUTRAL
2965,Trading Facebook Option s: In light of the upcoming Facebook IPO we add this discussion of trading Facebook optio ... http://t.co/Gx6NbP7R,Facebook,NEUTRAL
2966,Trading Facebook Option s: In light of the upcoming Facebook IPO we add this discussion of trading Facebook optio ... http://t.co/Gx6NbP7R,Facebook,NEUTRAL
2967,David's Hybrid Spinach Spargo 385 Treated Seeds per Packet by David's Garden Seeds http://t.co/x9xOjLQB via @amazon,David's,NEUTRAL
2968,David's Hybrid Spinach Spargo 385 Treated Seeds per Packet by David's Garden Seeds http://t.co/x9xOjLQB via @amazon,David's Garden Seeds,NEUTRAL
2969,What Are Universities For ? By Stefan Collini http://t.co/QpqnNmi0,Stefan Collini,NEUTRAL
2970,"Forget the supermarket , go artisanal : By Justine Gerardy The Neighbourgoods Market in Saltriver , where people co ... http://t.co/xDUUJwUK",Justine Gerardy The Neighbourgoods Market,NEUTRAL NEUTRAL POSITIVE POSITIVE POSITIVE
2971,"Will Uma Thurman Be Shopping For Pink Or Blue ? : PINK , according to Life & Style ! Uma Thurman is expecting a baby ... http://t.co/Tr6XNRzs",Uma Thurman,NEUTRAL
2972,"Will Uma Thurman Be Shopping For Pink Or Blue ? : PINK , according to Life & Style ! Uma Thurman is expecting a baby ... http://t.co/Tr6XNRzs",Uma Thurman,POSITIVE
2973,Budco Supports Innovative Direct Marketing Media Through New DiscMail Direct Coalition http://tinyurl.com/37z5ntd,Budco,NEUTRAL
2974,Budco Supports Innovative Direct Marketing Media Through New DiscMail Direct Coalition http://tinyurl.com/37z5ntd,Direct Marketing Media,POSITIVE
2975,Budco Supports Innovative Direct Marketing Media Through New DiscMail Direct Coalition http://tinyurl.com/37z5ntd,New DiscMail Direct Coalition,NEUTRAL
2976,I posted a new photo to Facebook http://fb.me/TFq96YOd,Facebook,NEUTRAL
2977,I liked a YouTube video -- Social commercial http://youtu.be/4XbiVFME5d4?a,YouTube,POSITIVE
2978,I am like a little pencil in God's hand . That is all . - Mother Teresa #RT via @Dr Wayne W Dyer,God's,POSITIVE
2979,I am like a little pencil in God's hand . That is all . - Mother Teresa #RT via @Dr Wayne W Dyer,Mother Teresa,NEUTRAL
2980,I am like a little pencil in God's hand . That is all . - Mother Teresa #RT via @Dr Wayne W Dyer,@Dr Wayne W Dyer,NEUTRAL
2981,"News Update Recovering From Eating Disorders Focus Events - The presenter will be Christina Sweetland , a licensed cl ... http://ow.ly/1bjdfL",Christina Sweetland,NEUTRAL
2982,"@Mo0stafa Yes , I should do that , Mostafa . It is my pleasure following you , man :)",Mostafa,POSITIVE
2983,Ahhhh gosh why did I have to go check Facebook . Ended up wasting so much time ... ):,Facebook,NEGATIVE
2984,De Briefcase Arsenal's Cesc Fabregas fears he may have a broken leg : http://debriefcase.com/1511,De Briefcase Arsenal's Cesc Fabregas,NEGATIVE NEGATIVE NEGATIVE NEUTRAL NEUTRAL
2985,Senior Obama Campaign Staffer Tweets Subtle Attack on Romney : President Obama's senior campaign strategist took ... http://t.co/DzilfcyU,Obama,NEUTRAL
2986,Senior Obama Campaign Staffer Tweets Subtle Attack on Romney : President Obama's senior campaign strategist took ... http://t.co/DzilfcyU,Romney,NEUTRAL
2987,Senior Obama Campaign Staffer Tweets Subtle Attack on Romney : President Obama's senior campaign strategist took ... http://t.co/DzilfcyU,President Obama's senior campaign strategist,NEUTRAL
2988,Cute Females to have sex in Bangalore 8722971642 : Call Kiran 8722971642 Charming and sexy girls to be your tem ... http://twurl.nl/4zt676,Kiran,NEUTRAL
2989,Quasimidi Sirius Demoed by Polish Master on I Have Synth http://tinyurl.com/y9rcfsf,Quasimidi Sirius,NEUTRAL
2990,Quasimidi Sirius Demoed by Polish Master on I Have Synth http://tinyurl.com/y9rcfsf,Polish Master,NEUTRAL
2991,Twitter Help Center | How To Change Language Settings http://t.co/61USVOr via @support,Twitter,NEUTRAL
2992,Wiz Khalifa Announces Engagement on Twitter [ VIDEO ] http://t.co/ryu1SLUz,Wiz Khalifa,NEUTRAL
2993,Wiz Khalifa Announces Engagement on Twitter [ VIDEO ] http://t.co/ryu1SLUz,Twitter,NEUTRAL
2994,The Supranatural Secrets of the Freemasons http://ow.ly/5kf81,Freemasons,NEUTRAL
2995,Royal Pirates officially announce their Korean ... http://t.co/MnOHUcy via @koreaboo,Royal Pirates,NEUTRAL
2996,William Walker Joins Aegis Health Group as Vice President of Information ... - MarketWatch ( press release ): Will ... http://t.co/wghuk2bg,William Walker,NEUTRAL
2997,William Walker Joins Aegis Health Group as Vice President of Information ... - MarketWatch ( press release ): Will ... http://t.co/wghuk2bg,Aegis Health Group,NEUTRAL
2998,William Walker Joins Aegis Health Group as Vice President of Information ... - MarketWatch ( press release ): Will ... http://t.co/wghuk2bg,Vice President of Information,NEUTRAL
2999,"Ford / Mazda Credit ""Total Loss"" Dept SUCKS ! Allstate paid off the claim May 20th and they still have NOT paid me my balance due ! They SUCK !",Ford / Mazda Credit,NEGATIVE
3000,"Ford / Mazda Credit ""Total Loss"" Dept SUCKS ! Allstate paid off the claim May 20th and they still have NOT paid me my balance due ! They SUCK !",Allstate,NEGATIVE
3001,I know how to get tons of twitter followers ! http://t.co/s9oC91Zf,twitter,NEUTRAL
3002,"Free tutorial on how to earn money on FaceBook - http://grsnip.com/r/v5I1 - Couldn't be easier , read this out , free today !",FaceBook,NEUTRAL
3003,IBN : Iran vs EU : Iraq Plays Go-Between in Oil Export Crisis http://t.co/nOFOjW6I,EU,NEUTRAL
3004,Do You Want To Make Money On AutoPilot Using Forex ? http://tinyurl.com/yeuc2oo,Forex,POSITIVE
3005,#iranelection Iran's War on its People . NYT Editorial Dec 28 http://bit.ly/4XMNNU,NYT Editorial,NEUTRAL
3006,Do the right thing and give to Haiti now . MSF is the most needed NGO : https://donate.doctorswithoutborders.org/,MSF,POSITIVE
3007,Do the right thing and give to Haiti now . MSF is the most needed NGO : https://donate.doctorswithoutborders.org/,NGO,NEUTRAL
3008,@MazenFarah hi mazen i am going through the #Mowgli experience now and it is amazing !,mazen,POSITIVE
3009,"V2 Cigs is Fastest Growing E-Cigarette Brand , Expert Reports - Online PR News ( press release ) http://ow.ly/1bzBYf",V2 Cigs,NEUTRAL
3010,Wilmington New Media Makes Your Site Confident http://p.ost.im/p/edQWkU,Wilmington New Media,POSITIVE
3011,"In the meantime , if you follow us on Twitter or like us on Facebook to show you're serious , maybe we'll let you in first in the queue ;-)",Twitter,NEUTRAL
3012,"In the meantime , if you follow us on Twitter or like us on Facebook to show you're serious , maybe we'll let you in first in the queue ;-)",Facebook,NEUTRAL
3013,@khadijahafeji All r doing well .. But i like Ishant .. The way his bowl and he crossed 150 kmph ..,Ishant,POSITIVE
3014,"what a joke - the gom for the jan lok pal bill - sharad pawar , moily and kapil sibal.this govt thinks we the people are stupid and gullible .",sharad pawar,NEUTRAL
3015,"what a joke - the gom for the jan lok pal bill - sharad pawar , moily and kapil sibal.this govt thinks we the people are stupid and gullible .",moily,NEGATIVE
3016,"what a joke - the gom for the jan lok pal bill - sharad pawar , moily and kapil sibal.this govt thinks we the people are stupid and gullible .",kapil,NEGATIVE
